sent	infile	time	goodput	throughput	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE
42000 31499 55.7346 6.63257 8.84391 -0.00584678 0 4500 6000
42000 31499 58.9887 6.26669 8.35605 -0.00584678 0 4500 6000
42000 31499 56.6618 6.52404 8.6992 -0.00583899 0 4500 6000
42040 31499 57.4294 6.43683 8.59109 0.000424191 0 4500 6000
42000 31499 56.3707 6.55773 8.74412 0 0 4500 6000
42160 31499 58.2752 6.34341 8.49057 0.0029252 0 4500 6000
43608 31499 57.9032 6.38417 8.83861 0.0147809 0 4500 6000
42071 31499 58.169 6.35499 8.48812 0.0010741 0 4500 6000
42000 31499 57.6243 6.41507 8.5539 0 0 4500 6000
42103 31499 60.7179 6.08821 8.13797 0.000877045 0 4500 6000
42142 31499 57.2409 6.45804 8.64031 0.00187723 0 4500 6000
end of operations
78001 31499 111.23 3.32343 8.23001 0.310761 0 2500 3500
42000 31499 59.0518 6.25999 8.34711 0.0434753 0 4500 5500
42058 31499 58.5164 6.31727 8.43512 0.0444793 0 4500 5500
42001 31499 58.7088 6.29656 8.39608 0.0434822 0 4500 5500
38500 31499 44.9267 8.22815 10.0572 -0.010691 0 4500 5500
38504 31499 57.3831 6.44203 7.87484 3.69836e-05 0 4500 5500
38503 31499 57.5241 6.42624 7.85534 3.16594e-05 0 4500 5500
38580 31499 57.3399 6.44688 7.89633 0.00141584 0 4500 5500
38500 31499 56.4811 6.54491 7.99978 0 0 4500 5500
38500 31499 56.7634 6.51236 7.95998 0 0 4500 5500
38534 31499 57.7187 6.40457 7.83516 0.000396531 0 4500 5500
42000 31499 57.6706 6.40992 8.54703 -0.00584678 0 4500 6000
42000 31499 57.0492 6.47973 8.64012 -0.00583216 0 4500 6000
42000 31499 57.0377 6.48104 8.64186 -0.00584678 0 4500 6000
42000 31499 57.2018 6.46245 8.61708 -0.00584678 0 4500 6000
42000 31499 56.2347 6.57359 8.76527 -0.00584678 0 4500 6000
42050 31499 56.9384 6.49235 8.66724 0.000704138 0 4500 6000
42000 31499 56.4134 6.55276 8.73749 0 0 4500 6000
42035 31499 59.1998 6.24434 8.33318 0.000225825 0 4500 6000
42000 31499 56.9571 6.49021 8.65409 0 0 4500 6000
47800 31499 63.2306 5.84628 8.87198 0.0501402 0 4500 6000
42001 31499 56.8972 6.49705 8.66341 2.80391e-05 0 4500 6000
end of operations
78031 31499 108.319 3.41274 8.45442 0.310937 0 2500 3500
42000 31499 58.5211 6.31676 8.42281 0.0434753 0 4500 5500
42044 31499 59.0586 6.25927 8.3549 0.0435712 0 4500 5500
42001 31499 58.6798 6.29968 8.40023 0.043501 0 4500 5500
42000 31499 58.6989 6.29763 8.3973 0.0434753 0 4500 5500
42114 31499 59.892 6.17217 8.25235 0.0439888 0 4500 5500
38500 31499 44.835 8.24498 10.0778 -0.0106973 0 4500 5500
38526 31499 57.616 6.41599 7.8475 0.000793411 0 4500 5500
38594 31499 58.0776 6.365 7.79886 0.00195727 0 4500 5500
38641 31499 59.2751 6.23641 7.65061 0.00267745 0 4500 5500
38500 31499 57.0276 6.48219 7.92311 0 0 4500 5500
42000 31499 56.1692 6.58125 8.77549 -0.00584678 0 4500 6000
42000 31499 57.188 6.464 8.61914 -0.00584678 0 4500 6000
42000 31499 55.9501 6.60703 8.80986 -0.00584678 0 4500 6000
42000 31499 55.6702 6.64024 8.85414 -0.00584678 0 4500 6000
42000 31499 59.8074 6.1809 8.24165 -0.00584678 0 4500 6000
42000 31499 55.751 6.63062 8.84131 -0.00584678 0 4500 6000
42045 31499 57.5733 6.42074 8.57064 0.000949411 0 4500 6000
42086 31499 57.2301 6.45925 8.63045 0.00180023 0 4500 6000
42138 31499 58.724 6.29494 8.42129 0.000683958 0 4500 6000
42003 31499 56.8771 6.49934 8.66688 1.298e-05 0 4500 6000
end of operations
