dectime	rxtime	totrxpck	droppck	rxpck	uselesspck	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE	faileddec
8.45934 59.2154 42031 0 42000 31 0 0 4500 6000 0
8.16138 57.1296 42011 0 42000 11 0 0 4500 6000 0
8.42146 58.9502 42000 0 42000 0 0 0 4500 6000 0
8.34408 58.4085 42000 0 42000 0 0 0 4500 6000 0
8.34479 58.4135 42000 0 42000 0 0 0 4500 6000 0
end of operations
8.15152 57.0606 38502 0 38500 2 0 0 4500 5500 0
8.19508 57.3656 38502 0 38500 2 0 0 4500 5500 0
8.17616 57.2331 38500 0 38500 0 0 0 4500 5500 0
8.05356 56.3749 38500 0 38500 0 0 0 4500 5500 0
8.08524 56.5967 38500 0 38500 0 0 0 4500 5500 0
8.17346 57.2142 38501 0 38500 1 0 0 4500 5500 0
8.18942 57.326 39088 0 38500 588 0 0 4500 5500 0
8.11477 56.8034 39088 0 38500 588 0 0 4500 5500 0
8.13239 56.9267 39088 0 38500 588 0 0 4500 5500 0
8.15576 57.0903 39088 0 38500 588 0 0 4500 5500 0
8.01782 56.1248 39088 0 38500 588 0 0 4500 5500 0
8.11824 56.8277 42004 0 42000 4 0 0 4500 6000 0
8.0423 56.2961 42000 0 42000 0 0 0 4500 6000 0
8.40632 58.8443 42007 0 42000 7 0 0 4500 6000 0
8.10771 56.754 42000 0 42000 0 0 0 4500 6000 0
9.01363 63.0954 46908 0 42000 4908 0 0 4500 6000 0
8.05713 56.3999 42000 0 42000 0 0 0 4500 6000 0
8.34471 58.413 42000 0 42000 0 0 0 4500 6000 0
8.40709 58.8496 42000 0 42000 0 0 0 4500 6000 0
8.36068 58.5248 42000 0 42000 0 0 0 4500 6000 0
8.34679 58.4275 42000 0 42000 0 0 0 4500 6000 0
8.41277 58.8894 42000 0 42000 0 0 0 4500 6000 0
end of operations
8.12432 56.8702 38500 0 38500 0 0 0 4500 5500 0
8.21097 57.4768 38500 0 38500 0 0 0 4500 5500 0
8.43703 59.0592 38503 0 38500 3 0 0 4500 5500 0
8.13165 56.9215 38500 0 38500 0 0 0 4500 5500 0
8.44238 59.0967 39088 0 38500 588 0 0 4500 5500 0
8.0092 56.0644 39088 0 38500 588 0 0 4500 5500 0
8.15351 57.0746 39088 0 38500 588 0 0 4500 5500 0
7.96472 55.753 39088 0 38500 588 0 0 4500 5500 0
7.9102 55.3714 39088 0 38500 588 0 0 4500 5500 0
8.49635 59.4744 39088 0 38500 588 0 0 4500 5500 0
7.94381 55.6067 39088 0 38500 588 0 0 4500 5500 0
8.2091 57.4637 42000 0 42000 0 0 0 4500 6000 0
8.15013 57.0509 42000 0 42000 0 0 0 4500 6000 0
8.35159 58.4612 42003 0 42000 3 0 0 4500 6000 0
8.10097 56.7068 42002 0 42000 2 0 0 4500 6000 0
8.25219 57.7653 42000 0 42000 0 0 0 4500 6000 0
8.31511 58.2058 42000 0 42000 0 0 0 4500 6000 0
8.33339 58.3338 42000 0 42000 0 0 0 4500 6000 0
8.37619 58.6333 42000 0 42000 0 0 0 4500 6000 0
8.32402 58.2682 42000 0 42000 0 0 0 4500 6000 0
8.4335 59.0345 42000 0 42000 0 0 0 4500 6000 0
8.41842 58.9289 42000 0 42000 0 0 0 4500 6000 0
end of operations
7.94378 55.6065 38500 0 38500 0 0 0 4500 5500 0
8.31386 58.1971 38502 0 38500 2 0 0 4500 5500 0
12.4534 87.1739 54410 0 38500 15910 0 0 4500 5500 0
9.68312 67.7818 46746 0 38500 8246 0 0 4500 5500 0
8.38142 58.6699 38990 0 38500 490 0 0 4500 5500 0
8.08764 56.6135 39088 0 38500 588 0 0 4500 5500 0
8.21332 57.4933 38892 0 38500 392 0 0 4500 5500 0
15.6305 109.413 57182 0 38500 18682 0 0 4500 5500 0
11.991 83.9371 55145 0 38500 16645 0 0 4500 5500 0
8.03189 56.2233 39001 0 38500 501 0 0 4500 5500 0
8.03985 56.2789 39088 0 38500 588 0 0 4500 5500 0
8.42119 58.9483 42000 0 42000 0 0 0 4500 6000 0
8.26919 57.8843 42000 0 42000 0 0 0 4500 6000 0
8.7488 61.2416 44622 0 42000 2622 0 0 4500 6000 0
8.27775 57.9443 42000 0 42000 0 0 0 4500 6000 0
8.24825 57.7378 42000 0 42000 0 0 0 4500 6000 0
8.40525 58.8367 43292 0 42000 1292 0 0 4500 6000 0
8.41973 58.9381 42000 0 42000 0 0 0 4500 6000 0
8.51847 59.6293 42000 0 42000 0 0 0 4500 6000 0
8.3987 58.7909 42000 0 42000 0 0 0 4500 6000 0
8.38978 58.7285 42000 0 42000 0 0 0 4500 6000 0
end of operations
6.55107 85.1639 45500 0 45500 0 0 0 2500 3500 0
4.86596 63.2575 45501 0 45500 1 0 0 2500 3500 0
5.0998 66.2974 47271 0 45500 1771 0 0 2500 3500 0
5.71542 74.3004 46066 0 45500 566 0 0 2500 3500 0
4.73805 61.5946 45500 0 45500 0 0 0 2500 3500 0
4.96035 64.4845 46497 0 45500 997 0 0 2500 3500 0
5.05521 65.7177 48526 0 45500 3026 0 0 2500 3500 0
6.11976 79.5569 57259 0 45500 11759 0 0 2500 3500 0
4.93075 64.0998 45500 0 45500 0 0 0 2500 3500 0
5.00655 65.0852 48365 0 45500 2865 0 0 2500 3500 0
5.34691 69.5098 52000 0 52000 0 0 0 2500 4000 0
5.33359 69.3367 52005 0 52000 5 0 0 2500 4000 0
5.37184 69.8339 52000 0 52000 0 0 0 2500 4000 0
6.09158 79.1905 57469 0 52000 5469 0 0 2500 4000 0
5.50412 71.5535 52000 0 52000 0 0 0 2500 4000 0
5.54801 72.1242 52000 0 52000 0 0 0 2500 4000 0
5.40695 70.2903 52000 0 52000 0 0 0 2500 4000 0
5.44374 70.7686 52000 0 52000 0 0 0 2500 4000 0
5.7528 74.7864 52002 0 52000 2 0 0 2500 4000 0
5.41493 70.3941 52006 0 52000 6 0 0 2500 4000 0
9.96978 129.607 68343 0 52000 16343 0 0 2500 4000 0
14.7531 132.778 74805 0 40500 34305 0 0 3500 4500 0
6.56086 59.0477 40500 0 40500 0 0 0 3500 4500 0
6.35451 57.1906 40500 0 40500 0 0 0 3500 4500 0
6.33844 57.0459 40502 0 40500 2 0 0 3500 4500 0
6.4228 57.8052 40507 0 40500 7 0 0 3500 4500 0
14.2187 127.968 46145 0 40500 5645 0 0 3500 4500 0
6.26972 56.4275 40500 0 40500 0 0 0 3500 4500 0
6.26612 56.3951 40500 0 40500 0 0 0 3500 4500 0
6.18975 55.7078 40500 0 40500 0 0 0 3500 4500 0
6.21655 55.9489 40500 0 40500 0 0 0 3500 4500 0
6.53484 58.8135 43662 0 40500 3162 0 0 3500 4500 0
9.11029 81.9926 45000 0 45000 0 0 0 3500 5000 0
6.67981 60.1183 45000 0 45000 0 0 0 3500 5000 0
7.19329 64.7396 48820 0 45000 3820 0 0 3500 5000 0
7.28875 65.5988 49295 0 45000 4295 0 0 3500 5000 0
6.69664 60.2697 45000 0 45000 0 0 0 3500 5000 0
6.85086 61.6577 45004 0 45000 4 0 0 3500 5000 0
13.0823 117.741 84374 0 45000 39374 0 0 3500 5000 0
6.67329 60.0596 45000 0 45000 0 0 0 3500 5000 0
6.65936 59.9342 45000 0 45000 0 0 0 3500 5000 0
6.74068 60.6661 45001 0 45000 1 0 0 3500 5000 0
6.66812 60.0131 45000 0 45000 0 0 0 3500 5000 0
end of operations
4.7401 61.6213 45500 0 45500 0 0 0 2500 3500 0
4.68351 60.8857 45500 0 45500 0 0 0 2500 3500 0
4.706 61.178 45500 0 45500 0 0 0 2500 3500 0
4.77161 62.0309 46225 0 45500 725 0 0 2500 3500 0
4.99271 64.9053 48561 0 45500 3061 0 0 2500 3500 0
4.81323 62.572 45503 0 45500 3 0 0 2500 3500 0
4.78516 62.207 46324 0 45500 824 0 0 2500 3500 0
4.70203 61.1264 45500 0 45500 0 0 0 2500 3500 0
4.75472 61.8114 45500 0 45500 0 0 0 2500 3500 0
4.73778 61.5911 45502 0 45500 2 0 0 2500 3500 0
5.03817 65.4962 48545 0 45500 3045 0 0 2500 3500 0
5.25253 68.2829 52000 0 52000 0 0 0 2500 4000 0
5.3136 69.0768 52003 0 52000 3 0 0 2500 4000 0
5.28916 68.7591 52000 0 52000 0 0 0 2500 4000 0
5.30419 68.9545 52000 0 52000 0 0 0 2500 4000 0
5.27534 68.5794 52000 0 52000 0 0 0 2500 4000 0
5.29693 68.8601 52000 0 52000 0 0 0 2500 4000 0
5.5974 72.7662 55508 0 52000 3508 0 0 2500 4000 0
5.45734 70.9455 53514 0 52000 1514 0 0 2500 4000 0
5.34058 69.4275 52000 0 52000 0 0 0 2500 4000 0
5.28989 68.7685 52000 0 52000 0 0 0 2500 4000 0
5.30573 68.9745 52001 0 52000 1 0 0 2500 4000 0
6.21035 55.8932 40500 0 40500 0 0 0 3500 4500 0
6.16382 55.4744 40500 0 40500 0 0 0 3500 4500 0
6.16414 55.4773 40500 0 40500 0 0 0 3500 4500 0
6.21549 55.9394 40500 0 40500 0 0 0 3500 4500 0
6.29397 56.6457 40500 0 40500 0 0 0 3500 4500 0
6.3306 56.9754 40504 0 40500 4 0 0 3500 4500 0
6.25698 56.3129 40500 0 40500 0 0 0 3500 4500 0
6.24283 56.1855 40500 0 40500 0 0 0 3500 4500 0
6.70257 60.3231 44038 0 40500 3538 0 0 3500 4500 0
6.16685 55.5016 40500 0 40500 0 0 0 3500 4500 0
6.25298 56.2768 40503 0 40500 3 0 0 3500 4500 0
6.68195 60.1376 45000 0 45000 0 0 0 3500 5000 0
7.21611 64.945 49351 0 45000 4351 0 0 3500 5000 0
6.7768 60.9912 45002 0 45000 2 0 0 3500 5000 0
7.20961 64.8865 47631 0 45000 2631 0 0 3500 5000 0
6.72512 60.5261 45000 0 45000 0 0 0 3500 5000 0
6.72383 60.5145 45000 0 45000 0 0 0 3500 5000 0
6.76218 60.8596 45000 0 45000 0 0 0 3500 5000 0
6.74809 60.7328 45000 0 45000 0 0 0 3500 5000 0
6.74214 60.6792 45001 0 45000 1 0 0 3500 5000 0
6.76368 60.8731 45003 0 45000 3 0 0 3500 5000 0
6.76824 60.9141 45000 0 45000 0 0 0 3500 5000 0
end of operations
4.74574 61.6946 45500 0 45500 0 0 0 2500 3500 0
4.69384 61.0199 45500 0 45500 0 0 0 2500 3500 0
4.70491 61.1639 45500 0 45500 0 0 0 2500 3500 0
4.6877 60.9401 45500 0 45500 0 0 0 2500 3500 0
4.71301 61.2691 45500 0 45500 0 0 0 2500 3500 0
4.72926 61.4803 45500 0 45500 0 0 0 2500 3500 0
4.80735 62.4956 45504 0 45500 4 0 0 2500 3500 0
5.04072 65.5294 45507 0 45500 7 0 0 2500 3500 0
6.03667 78.4767 48906 0 45500 3406 0 0 2500 3500 0
7.4092 96.3196 58439 0 45500 12939 0 0 2500 3500 0
4.77179 62.0333 45500 0 45500 0 0 0 2500 3500 0
5.38093 69.9521 52000 0 52000 0 0 0 2500 4000 0
5.33605 69.3687 52002 0 52000 2 0 0 2500 4000 0
7.68912 99.9586 52000 0 52000 0 0 0 2500 4000 0
5.31379 69.0793 52000 0 52000 0 0 0 2500 4000 0
6.91894 89.9462 58470 0 52000 6470 0 0 2500 4000 0
5.27191 68.5349 52000 0 52000 0 0 0 2500 4000 0
5.31994 69.1593 52000 0 52000 0 0 0 2500 4000 0
6.10843 79.4096 59944 0 52000 7944 0 0 2500 4000 0
6.01407 78.1829 58402 0 52000 6402 0 0 2500 4000 0
