sent		infile		time		goodput		throughput	PER_estimate
42838		22563		9.66986		38.2284		72.582		0.121352
41553		22563		9.03045		40.9352		75.3898		0.0986359
41579		22563		9.33844		39.5852		72.9491		0.0995418
42928		22563		9.31064		39.7034		75.5407		0.123189
42925		22563		13.1356		28.1421		53.5401		0.121186
42422		22563		10.0652		36.7268		69.0538		0.115109
42801		22563		11.4155		32.3827		61.4299		0.121877
42471		22563		10.7507		34.3851		64.7255		0.115974
42305		22563		9.96203		37.1073		69.5767		0.111472
42495		22563		11.946		30.9446		58.2823		0.115596
