dectime		rxtime		totrxpck	droppck		rxpck		uselesspck		PER
1.64891		9.89346		66503		33503			33000		0			0.503782
1.73627		10.4176		65493		32492			33000		1			0.496114
1.669		10.014		65955		32954			33000		1			0.499644
2.01692		12.1015		66233		33233			33000		0			0.501759
1.72835		10.3701		65519		32517			33000		2			0.496299
2.70941		16.2564		66601		33600			33000		1			0.504497
2.39878		14.3927		66054		33053			33000		1			0.500394
1.54125		9.2475		65469		32468			33000		1			0.495929
2.37402		14.2441		66272		33270			33000		2			0.502022
1.85095		11.1057		65686		32685			33000		1			0.497595
