sent		infile		time		goodput		throughput	PER_estimate
48901		22563		8.90813		41.4974		89.9397		0.163175
48169		22563		12.1414		30.4465		65.0008		0.154544
48234		22563		9.29449		39.7723		85.0252		0.156301
48796		22563		11.5991		31.87		68.9254		0.161955
48450		22563		7.88244		46.8971		100.705		0.158955
48807		22563		9.57994		38.5873		83.4717		0.162588
48749		22563		10.4281		35.4489		76.5916		0.161755
48382		22563		9.34547		39.5554		84.8208		0.157361
48658		22563		11.0682		33.3987		72.0273		0.160515
