sent		infile		time		goodput		throughput	PER_estimate
37538		22563		10.537		35.0824		58.3678		0.0663735
37552		22563		9.25744		39.9315		66.4602		0.0670174
37488		22563		10.9792		33.6693		55.9422		0.0668441
37456		22563		12.1211		30.4976		50.6291		0.0662246
37631		22563		8.06129		45.8566		76.4823		0.0686619
37628		22563		8.9478		41.3134		68.8993		0.0680001
37547		22563		8.63453		42.8122		71.2453		0.0663618
37518		22563		7.52231		49.1423		81.7163		0.0659587
37690		22563		9.55785		38.6764		64.6079		0.0709312
