sent		infile		time		goodput		throughput	PER_estimate
56297		22563		13.3869		27.6137		68.9007		0.200227
55883		22563		10.6051		34.8571		86.3344		0.197053
55963		22563		10.7008		34.5455		85.685		0.199397
56410		22563		11.2432		32.879		82.2029		0.200588
56011		22563		11.8894		31.0918		77.1848		0.197294
55945		22563		13.3363		27.7186		68.7299		0.198471
56054		22563		11.0835		33.3527		82.8612		0.19878
56201		22563		12.0229		30.7468		76.5873		0.198855
56065		22563		10.0542		36.7672		91.3619		0.198072
56269		22563		12.7215		29.0583		72.4689		0.19887
