sent		infile		time		goodput		throughput	PER_estimate
67931		22563		10.0117		36.9231		111.168		0.246593
66459		22563		10.5365		35.0841		103.342		0.239907
67039		22563		10.1238		36.5143		108.494		0.242199
67702		22563		12.2143		30.2647		90.8138		0.243892
66659		22563		10.485		35.2563		104.162		0.241403
67760		22563		16.3748		22.5751		67.7979		0.244581
67759		22563		14.509		25.4782		76.5155		0.246676
66851		22563		9.36792		39.4606		116.919		0.242773
67479		22563		14.3583		25.7456		76.999		0.24441
67028		22563		11.2228		32.9387		97.8534		0.242169
