sent		infile		time		goodput		throughput	PER_estimate
92536		22563		34.224		10.8013		44.2996		0.637248
93534		22563		34.9431		10.579		43.8559		0.635106
93755		22563		41.3647		8.93669		37.1351		0.635586
93414		22563		42.5592		8.68587		35.9616		0.646436
92534		22563		48.7936		7.57607		31.0712		0.63863
94066		22563		43.8781		8.42479		35.1241		0.647768
93473		22563		36.8989		10.0183		41.5042		0.637317
93267		22563		35.4247		10.4352		43.1362		0.643684
93513		22563		33.6183		10.9959		45.5739		0.640194
94144		22563		39.4203		9.3775		39.1285		0.636832
