sent		infile		time		goodput		throughput	PER_estimate
38236		22563		13.0024		28.4304		48.1803		0.112992
38242		22563		12.5042		29.5633		50.1079		0.103136
38344		22563		12.713		29.0776		49.4161		0.109223
38461		22563		12.3561		29.9174		50.9985		0.112482
38206		22563		12.9625		28.518		48.2908		0.116593
38047		22563		13.2222		27.9579		47.1453		0.102839
38484		22563		12.479		29.6229		50.5268		0.108026
38050		22563		13.4951		27.3925		46.1955		0.116629
37863		22563		13.1343		28.1449		47.2311		0.0952372
38386		22563		12.6506		29.2211		49.7144		0.116254
