dectime		rxtime		totrxpck	droppck		rxpck		uselesspck		PER
0.0133308		25.0759		59985		24005			32166		3814			0.400183
0.0123538		23.2384		59512		23678			32116		3718			0.397869
0.0149164		28.0586		59696		23955			32074		3667			0.401283
0.0164215		30.8897		59327		23474			32091		3762			0.395671
0.0132218		24.8711		58999		23387			32057		3555			0.396397
0.0130919		24.6268		59537		23777			32084		3676			0.399365
0.0147918		27.8241		59786		23921			32081		3784			0.40011
0.0127289		23.9439		59618		23735			32099		3784			0.398118
0.0136736		25.7209		59859		24080			32099		3680			0.402279
0.0132797		24.9799		59621		23811			32083		3727			0.399373
