sent		infile		time		goodput		throughput	PER_estimate
204535		22563		89.6909		4.12153		37.3628		0.841479
202557		22563		81.6316		4.52844		40.6545		0.840877
203494		22563		96.0734		3.84772		34.7031		0.836388
201873		22563		108.26		3.4146		30.5514		0.833222
206382		22563		95.8785		3.85554		35.2672		0.83389
202537		22563		94.5098		3.91138		35.1113		0.842266
199984		22563		95.6565		3.86449		34.2532		0.837558
202852		22563		95.9439		3.85292		34.6403		0.838294
202629		22563		84.1454		4.39315		39.454		0.839231
203267		22563		80.9004		4.56937		41.1658		0.843858
