sent		infile		time		goodput		throughput	PER_estimate
50187		22563		20.1801		18.3182		40.7463		0.322421
50453		22563		20.5396		17.9976		40.2453		0.314685
50340		22563		24.4309		15.131		33.7593		0.321309
50850		22563		19.4426		19.0131		42.8506		0.323062
50023		22563		20.2346		18.2688		40.5036		0.314159
50476		22563		21.0676		17.5465		39.2545		0.320667
50368		22563		23.5319		15.7091		35.0686		0.326294
50453		22563		21.5053		17.1894		38.438		0.329904
49968		22563		21.4276		17.2517		38.2066		0.30931
50562		22563		20.144		18.351		41.1243		0.329846
