sent		infile		time		goodput		throughput	PER_estimate
59986		22563		25.0795		14.7397		39.1879		0.429496
59512		22563		23.2426		15.9046		41.9508		0.408281
59698		22563		28.061		13.1736		34.856		0.424332
59332		22563		30.8934		11.9658		31.4661		0.42684
58999		22563		24.8737		14.8616		38.8619		0.4216
59538		22563		24.629		15.0093		39.6065		0.427128
59796		22563		27.8283		13.2837		35.205		0.434396
59619		22563		23.9484		15.4359		40.7877		0.42227
59864		22563		25.7253		14.3697		38.1264		0.433245
59622		22563		24.9836		14.7962		39.0995		0.435124
