sent		infile		time		goodput		throughput	PER_estimate
127581		22563		51.203		7.21957		40.8235		0.741751
127228		22563		62.7695		5.88923		33.2089		0.737418
128570		22563		55.9667		6.60506		37.6383		0.737625
127382		22563		52.8359		6.99645		39.5002		0.734954
129105		22563		55.611		6.64731		38.0366		0.734294
127427		22563		49.3013		7.49805		42.347		0.737329
129311		22563		60.9799		6.06206		34.7431		0.741647
129614		22563		54.9351		6.72909		38.6564		0.732396
127141		22563		56.7454		6.51443		36.7092		0.741568
128983		22563		53.3598		6.92775		39.6039		0.740052
