dectime		rxtime		totrxpck	droppck		rxpck		uselesspck		PER
0.0272195		51.2008		127574		89114			32083		6377			0.698528
0.0333678		62.7658		127219		88672			32094		6453			0.697003
0.0297513		55.9631		128557		89914			32099		6544			0.69941
0.0280864		52.8315		127353		88946			32082		6325			0.698421
0.029562		55.6071		129097		90221			32110		6766			0.698862
0.0262078		49.2978		127424		89084			32086		6254			0.699115
0.0324163		60.976		129289		90525			32116		6648			0.700176
0.0292029		54.9317		129613		90739			32107		6767			0.700076
0.0301649		56.7412		127123		88922			32074		6127			0.699496
0.0283651		53.3557		128980		90432			32114		6434			0.701132
