sent		infile		time		goodput		throughput	PER_estimate
73799		22563		26.8793		13.7527		44.9835		0.531782
73408		22563		39.002		9.47806		30.8373		0.536571
73215		22563		26.7859		13.8007		44.7831		0.532087
73163		22563		30.1237		12.2715		39.7926		0.536386
73161		22563		40.4977		9.12802		29.5985		0.533822
73009		22563		29.0733		12.7149		41.1436		0.54489
73495		22563		38.5448		9.59049		31.2401		0.550039
73109		22563		32.7259		11.2958		36.6016		0.539809
73162		22563		30.0579		12.2984		39.8792		0.53406
73282		22563		25.7942		14.3313		46.5474		0.531403
